row_id,question_group_id,question,original_question,bloom_level,legacy_bloom_level,source_document,source_paragraph,quality_flags,split,review_status,review_notes
pone-row-2066737c0f51975c,pone-question-d2b8df6c5557ce79,"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix","Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",remember,knowledge,pone.0230442.s001.docx,5,missing_context,train,needs_review,
pone-row-8e48d9456181da80,pone-question-777459686a5409ad,Label the parts of the diagram,Label the parts of the diagram,remember,knowledge,pone.0230442.s001.docx,6,missing_context,train,needs_review,
pone-row-b84e8c6319d8b89d,pone-question-3b5deb475a36f632,"Based on the above dataType class, list all the function members","Based on the above dataType class, list all the function members",remember,knowledge,pone.0230442.s001.docx,7,missing_context,train,needs_review,
pone-row-8bb25fb0eddbe5a2,pone-question-b64286fe19de07f8,Define morphology,Define morphology,remember,knowledge,pone.0230442.s001.docx,8,very_short,train,needs_review,
pone-row-310b073bddff7adf,pone-question-4289a6781cffef89,Define Inheritance concept,Define Inheritance concept,remember,knowledge,pone.0230442.s001.docx,10,very_short,train,needs_review,
pone-row-81631e32a0145572,pone-question-d1aedc80864f9609,What is Encapsulation ?,What is Encapsulation ?,remember,knowledge,pone.0230442.s001.docx,11,very_short,test,needs_review,
pone-row-79a4d603ad6f368f,pone-question-531e4f711f1ea901,Name the authors of...?,Name the authors of...?,remember,knowledge,pone.0230442.s001.docx,12,placeholder,test,needs_review,
pone-row-059dbbcfe951b48d,pone-question-c2d5bd98333ef11a,List the fractions you know and can show....,List the fractions you know and can show….,remember,knowledge,pone.0230442.s001.docx,13,placeholder,train,needs_review,
pone-row-3c10b95b9adfb712,pone-question-1db857de6b2dae8d,List the __________________ in descending order,List the __________________ in descending order,remember,knowledge,pone.0230442.s001.docx,14,placeholder,validation,needs_review,
pone-row-fee03231a9951fb1,pone-question-fa65e8ca223a6e4c,List the attributes of the following shape.,List the attributes of the following shape.,remember,knowledge,pone.0230442.s001.docx,15,missing_context,train,needs_review,
pone-row-2845a180ced4aa6b,pone-question-e9c3a34ad3604f6e,List important information you can remember from lesson....,List important information you can remember from lesson….,remember,knowledge,pone.0230442.s001.docx,18,placeholder,train,needs_review,
pone-row-3fedadbe0b8112cf,pone-question-312beef1cddc61ff,Make a list of the main events of the story.,Make a list of the main events of the story.,remember,knowledge,pone.0230442.s001.docx,19,missing_context,train,needs_review,
pone-row-7f2a8b7d108a1229,pone-question-21db51599c2321ad,Memorize and recall the periodic table,Memorize and recall the periodic table,remember,knowledge,pone.0230442.s001.docx,20,missing_context,test,needs_review,
pone-row-cee5a9a1de58fc8e,pone-question-00a5860f76dd873b,Memorize the meaning of ...,Memorize the meaning of … ,remember,knowledge,pone.0230442.s001.docx,22,placeholder,train,needs_review,
pone-row-e1644657c790962d,pone-question-2779516c390931b1,Name all the characters in the story.,Name all the characters in the story.,remember,knowledge,pone.0230442.s001.docx,24,missing_context,validation,needs_review,
pone-row-c1a5887b23e08a94,pone-question-7090ddf146361bdf,Recall four facts from the story,Recall four facts from the story,remember,knowledge,pone.0230442.s001.docx,27,missing_context,train,needs_review,
pone-row-d9aaa9cd3e15174b,pone-question-6ba43cb6de80f257,What do you recall ...?,What do you recall ...?,remember,knowledge,pone.0230442.s001.docx,28,placeholder,train,needs_review,
pone-row-05731319818b9517,pone-question-aed238ecadac6dd8,What is the definition of the following terms...,What is the definition of the following terms…,remember,knowledge,pone.0230442.s001.docx,29,placeholder|missing_context,validation,needs_review,
