row_id,question_group_id,question,original_question,bloom_level,legacy_bloom_level,source_document,source_paragraph,quality_flags,split
pone-row-0cd1be8283b6e2ac,pone-question-c68154e3d5335da8,List two reference parameters in the setHour function,List two reference parameters in the setHour function,remember,knowledge,pone.0230442.s001.docx,4,none,test
pone-row-2066737c0f51975c,pone-question-d2b8df6c5557ce79,"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix","Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",remember,knowledge,pone.0230442.s001.docx,5,missing_context,train
pone-row-8e48d9456181da80,pone-question-777459686a5409ad,Label the parts of the diagram,Label the parts of the diagram,remember,knowledge,pone.0230442.s001.docx,6,missing_context,train
pone-row-b84e8c6319d8b89d,pone-question-3b5deb475a36f632,"Based on the above dataType class, list all the function members","Based on the above dataType class, list all the function members",remember,knowledge,pone.0230442.s001.docx,7,missing_context,train
pone-row-8bb25fb0eddbe5a2,pone-question-b64286fe19de07f8,Define morphology,Define morphology,remember,knowledge,pone.0230442.s001.docx,8,very_short,train
pone-row-ce0b3373e5241e83,pone-question-19859b442b0e36c8,Define Method in JAVA.,Define Method in JAVA.,remember,knowledge,pone.0230442.s001.docx,9,none,train
pone-row-310b073bddff7adf,pone-question-4289a6781cffef89,Define Inheritance concept,Define Inheritance concept,remember,knowledge,pone.0230442.s001.docx,10,very_short,train
pone-row-81631e32a0145572,pone-question-d1aedc80864f9609,What is Encapsulation ?,What is Encapsulation ?,remember,knowledge,pone.0230442.s001.docx,11,very_short,test
pone-row-79a4d603ad6f368f,pone-question-531e4f711f1ea901,Name the authors of...?,Name the authors of...?,remember,knowledge,pone.0230442.s001.docx,12,placeholder,test
pone-row-059dbbcfe951b48d,pone-question-c2d5bd98333ef11a,List the fractions you know and can show....,List the fractions you know and can show….,remember,knowledge,pone.0230442.s001.docx,13,placeholder,train
pone-row-3c10b95b9adfb712,pone-question-1db857de6b2dae8d,List the __________________ in descending order,List the __________________ in descending order,remember,knowledge,pone.0230442.s001.docx,14,placeholder,validation
pone-row-fee03231a9951fb1,pone-question-fa65e8ca223a6e4c,List the attributes of the following shape.,List the attributes of the following shape.,remember,knowledge,pone.0230442.s001.docx,15,missing_context,train
pone-row-d3ef658b9be47950,pone-question-49706592ff31f601,List two local variables in the main function,List two local variables in the main function,remember,knowledge,pone.0230442.s001.docx,16,none,train
pone-row-a211a719d234da10,pone-question-52433ade63c07ba1,List the data members,List the data members,remember,knowledge,pone.0230442.s001.docx,17,none,train
pone-row-2845a180ced4aa6b,pone-question-e9c3a34ad3604f6e,List important information you can remember from lesson....,List important information you can remember from lesson….,remember,knowledge,pone.0230442.s001.docx,18,placeholder,train
pone-row-3fedadbe0b8112cf,pone-question-312beef1cddc61ff,Make a list of the main events of the story.,Make a list of the main events of the story.,remember,knowledge,pone.0230442.s001.docx,19,missing_context,train
pone-row-7f2a8b7d108a1229,pone-question-21db51599c2321ad,Memorize and recall the periodic table,Memorize and recall the periodic table,remember,knowledge,pone.0230442.s001.docx,20,missing_context,test
pone-row-4a71fd84e5c716ed,pone-question-5181149ea37ea256,Memorize the multiplication facts,Memorize the multiplication facts,remember,knowledge,pone.0230442.s001.docx,21,none,train
pone-row-cee5a9a1de58fc8e,pone-question-00a5860f76dd873b,Memorize the meaning of ...,Memorize the meaning of … ,remember,knowledge,pone.0230442.s001.docx,22,placeholder,train
pone-row-a0014262c26a2910,pone-question-7d54861e2b0652db,Name three 19th-century women English authors.,Name three 19th-century women English authors.,remember,knowledge,pone.0230442.s001.docx,23,none,validation
pone-row-e1644657c790962d,pone-question-2779516c390931b1,Name all the characters in the story.,Name all the characters in the story.,remember,knowledge,pone.0230442.s001.docx,24,missing_context,validation
pone-row-35e8e0e813b559af,pone-question-2086e35953834dcd,Name five cities in US.,Name five cities in US.,remember,knowledge,pone.0230442.s001.docx,25,none,train
pone-row-e048c62408cd97ce,pone-question-f857b42b30d2594e,Recall the main components of the flowchart,Recall the main components of the flowchart,remember,knowledge,pone.0230442.s001.docx,26,none,train
pone-row-c1a5887b23e08a94,pone-question-7090ddf146361bdf,Recall four facts from the story,Recall four facts from the story,remember,knowledge,pone.0230442.s001.docx,27,missing_context,train
pone-row-d9aaa9cd3e15174b,pone-question-6ba43cb6de80f257,What do you recall ...?,What do you recall ...?,remember,knowledge,pone.0230442.s001.docx,28,placeholder,train
pone-row-05731319818b9517,pone-question-aed238ecadac6dd8,What is the definition of the following terms...,What is the definition of the following terms…,remember,knowledge,pone.0230442.s001.docx,29,placeholder|missing_context,validation
pone-row-c1e09f331de72e4f,pone-question-f3fe2120cf6b82a6,Can you explain what is happening . . . what is meant . . .?,Can you explain what is happening . . . what is meant . . .? ,understand,comprehension,pone.0230442.s001.docx,31,none,train
pone-row-ceb93031a7af924e,pone-question-7d2754fe5cb7be41,Class Facility is an abstract class. Explain what this means,Class Facility is an abstract class. Explain what this means,understand,comprehension,pone.0230442.s001.docx,32,none,train
pone-row-6cbaf093f0fdc086,pone-question-37c16675a7df2c3b,Draw a diagram explaining how air pressure affects the weather.,Draw a diagram explaining how air pressure affects the weather.,understand,comprehension,pone.0230442.s001.docx,33,missing_context,train
pone-row-fcaeb0f744873740,pone-question-1df37a09d6602a5e,Describe how interest rates affect the economy,Describe how interest rates affect the economy,understand,comprehension,pone.0230442.s001.docx,34,none,train
pone-row-1c2c6f9a5e759967,pone-question-eef8dc38233a9a80,Explain what is happening in the first picture of the story.,Explain what is happening in the first picture of the story.,understand,comprehension,pone.0230442.s001.docx,35,missing_context,test
pone-row-c1ee4fd16ebbf712,pone-question-4a860c66a79210f9,Explain why the story has the title that it does.,Explain why the story has the title that it does.,understand,comprehension,pone.0230442.s001.docx,36,missing_context,train
pone-row-5368ed93dee0d064,pone-question-0cb9d569de6a3f3e,Explain how the heart is like a pump.,Explain how the heart is like a pump.,understand,comprehension,pone.0230442.s001.docx,37,none,test
pone-row-1cafc1d41b0f768d,pone-question-c89c69a3849489e6,Explain what is happening...,Explain what is happening...,understand,comprehension,pone.0230442.s001.docx,38,placeholder,train
pone-row-b557d3ecb62eee41,pone-question-7d26cc3bba8994cb,Explain what is meant.,Explain what is meant.,understand,comprehension,pone.0230442.s001.docx,39,none,train
pone-row-acdb08a3e18a5d50,pone-question-9f9d4cf01e9afd23,Explain in one sentence what the method incFromN does,Explain in one sentence what the method incFromN does,understand,comprehension,pone.0230442.s001.docx,40,none,test
pone-row-e5c2e1a9b1a582c8,pone-question-eceb20444945baa5,How would you explain...?,How would you explain...?,understand,comprehension,pone.0230442.s001.docx,41,placeholder,train
pone-row-e154613fda79085b,pone-question-535d1cbfdce6e038,How would you express ________________?,How would you express ________________?,understand,comprehension,pone.0230442.s001.docx,42,placeholder,train
pone-row-fda11f1f7915eec0,pone-question-efa774371322c888,How can you describe _____________?,How can you describe _____________?,understand,comprehension,pone.0230442.s001.docx,43,placeholder,train
pone-row-e0d6003e9274f4d0,pone-question-3f25a2eeca1f5d41,How would you classify the type of ...?,How would you classify the type of ...?,understand,comprehension,pone.0230442.s001.docx,44,placeholder,train
pone-row-fa2525c9f47da6dc,pone-question-1f6473b661cd98c3,How can you explain what is meant ...?,How can you explain what is meant ...?,understand,comprehension,pone.0230442.s001.docx,45,placeholder,train
pone-row-c688a79a3aa38742,pone-question-c70b914b24bb31e3,Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120,Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120 ,understand,comprehension,pone.0230442.s001.docx,46,none,test
pone-row-bd276dcb10a0baac,pone-question-fac2b0e12741c591,Identify the key points in the text,Identify the key points in the text ,understand,comprehension,pone.0230442.s001.docx,47,missing_context,test
pone-row-361e65c7bfc7a0d0,pone-question-7117c3f03ef59240,Identify three mistakes from the passage and correct them.,Identify three mistakes from the passage and correct them.,understand,comprehension,pone.0230442.s001.docx,48,missing_context,train
pone-row-fa87c2e39375c3a4,pone-question-1c7be8d12f1cffe9,State in your own words ...,State in your own words ...,understand,comprehension,pone.0230442.s001.docx,49,placeholder,validation
pone-row-3e5c2c525b4f1916,pone-question-34ed6bd91aa832a9,State in one word ...,State in one word ...,understand,comprehension,pone.0230442.s001.docx,50,placeholder,validation
pone-row-099e21119a248df0,pone-question-2e79810c0579a071,Put in your own words...,Put in your own words…,understand,comprehension,pone.0230442.s001.docx,51,placeholder,train
pone-row-a63af1faa5a657e6,pone-question-2f6e70c2d462633a,What is the difference between atomic and molecular mass?,What is the difference between atomic and molecular mass?,understand,comprehension,pone.0230442.s001.docx,52,none,train
pone-row-a111ed6325f9acd9,pone-question-e35bbf9112b58153,"In your own words, tell what the story is about.","In your own words, tell what the story is about.",understand,comprehension,pone.0230442.s001.docx,53,missing_context,train
pone-row-f64785aafe76cbdc,pone-question-f38f16ae7972f24b,Design or sketch a marketing strategy for your product using a known strategy as a model.,Design or sketch a marketing strategy for your product using a known strategy as a model.,apply,application,pone.0230442.s001.docx,58,none,train
pone-row-d5d8db7c0c8c5954,pone-question-58bfcc3d51f81cec,Sketch an experiment to see how plants grow in different kinds of soil.,Sketch an experiment to see how plants grow in different kinds of soil.,apply,application,pone.0230442.s001.docx,59,none,train
pone-row-80aeec30cf8beafd,pone-question-64029a0d9c3567ec,Sketch a diagram which shows these fractions or take photographs of the fractions.,Sketch a diagram which shows these fractions or take photographs of the fractions. ,apply,application,pone.0230442.s001.docx,60,missing_context,validation
pone-row-4fee50f25cfc2666,pone-question-52801bdd067d4963,"Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry.","Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry. ",apply,application,pone.0230442.s001.docx,61,none,validation
pone-row-92df2fa28f06973f,pone-question-e2a20ff6798ed159,Interpret the graph and state how many trees were cut down to produce paper.,Interpret the graph and state how many trees were cut down to produce paper.,apply,application,pone.0230442.s001.docx,62,missing_context,train
pone-row-1709b4140eb8a031,pone-question-5534ad27615b3559,How does the law of supply and demand explain the current increase in the price of fruit?,How does the law of supply and demand explain the current increase in the price of fruit?,apply,application,pone.0230442.s001.docx,63,none,train
pone-row-8273dd05aea22a5b,pone-question-0f493b7604eefd14,Predict what would happen if ...,Predict what would happen if ...,apply,application,pone.0230442.s001.docx,64,placeholder,train
pone-row-93d65bc60f459c77,pone-question-07a268f1ad2d61d1,Write a textbook about this topic for others.,Write a textbook about this topic for others.,apply,application,pone.0230442.s001.docx,65,none,train
pone-row-1d97ef106a642ca3,pone-question-e8aa4f6c5c42e936,Write what you might have done.,Write what you might have done.,apply,application,pone.0230442.s001.docx,66,none,validation
pone-row-8f2143f4bc2d94f3,pone-question-2c8d6e3bf5f751fd,Write an explanation about this topic for others,Write an explanation about this topic for others,apply,application,pone.0230442.s001.docx,67,none,train
pone-row-5864147880a3a463,pone-question-acd21f33960bfb51,Write a C++ statement to declare a variable of type musicType name MyTune.,Write a C++ statement to declare a variable of type musicType name MyTune.,apply,application,pone.0230442.s001.docx,68,none,train
pone-row-e453833c8b815f73,pone-question-e11440ac7bdc931d,Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,apply,application,pone.0230442.s001.docx,69,missing_context,train
pone-row-0ba57cea6b2e8fb6,pone-question-f73eae4a189ad9ec,Write the definition of displaySize() method for each class,Write the definition of displaySize() method for each class,apply,application,pone.0230442.s001.docx,70,none,train
pone-row-bf73cb21377a1822,pone-question-533f04a3c1dc62f9,Suggest a way to deal with this scenario,Suggest a way to deal with this scenario,apply,application,pone.0230442.s001.docx,71,none,train
pone-row-187836e56189b00a,pone-question-d164b309c005f36c,Choose the best statements that apply ...,Choose the best statements that apply ...,apply,application,pone.0230442.s001.docx,72,placeholder,train
pone-row-f441c496f29c4fe4,pone-question-724cf226e46a7761,Analyze the selected information.,Analyze the selected information.,analyze,analysis,pone.0230442.s001.docx,76,missing_context,train
pone-row-aca554d87b81d95a,pone-question-81c4fc6bd1bf11c5,Can you discriminate the difference parts . . . ?,Can you discriminate the difference parts . . . ? ,analyze,analysis,pone.0230442.s001.docx,77,possible_language_error,train
pone-row-528c938b878985a6,pone-question-6614829b4f880ac1,Discriminate the pros and cons of ____.,Discriminate the pros and cons of ____.,analyze,analysis,pone.0230442.s001.docx,78,placeholder,train
pone-row-b81988be9a908332,pone-question-aa19f104e2e6d199,Analyze the following questionnaire.,Analyze the following questionnaire. ,analyze,analysis,pone.0230442.s001.docx,79,missing_context,validation
pone-row-edc10c19ec759096,pone-question-db0e21a30e71b032,How can you categorize ____ according to...?,How can you categorize ____ according to...?,analyze,analysis,pone.0230442.s001.docx,80,placeholder,train
pone-row-6dcb35c2dd0feb03,pone-question-88bd3b78211f2758,How can you distinguish the different parts of_____?,How can you distinguish the different parts of_____?,analyze,analysis,pone.0230442.s001.docx,81,placeholder,train
pone-row-eabc822662824d8d,pone-question-5d886529d0862678,How can you differentiate between...?,How can you differentiate between...?,analyze,analysis,pone.0230442.s001.docx,82,placeholder,test
pone-row-58ae03c870c9219a,pone-question-64c742c7a05ed182,"Discriminate the different parts of the story (introduction, development, climax, resolution.)","Discriminate the different parts of the story (introduction, development, climax, resolution.)",analyze,analysis,pone.0230442.s001.docx,83,missing_context,validation
pone-row-aa507bf35ab426c6,pone-question-a3282ad5cd7696be,Analyze a distinction. State the point of view of . . .,Analyze a distinction. State the point of view of . . .,analyze,analysis,pone.0230442.s001.docx,84,none,train
pone-row-176702ef63db4069,pone-question-f069a896252826dd,Categorize the story into parts and think of a good title for each of the parts.,Categorize the story into parts and think of a good title for each of the parts.,analyze,analysis,pone.0230442.s001.docx,85,missing_context,test
