row_id,question_group_id,question,original_question,bloom_level,legacy_bloom_level,source_document,source_paragraph,quality_flags,split
pone-row-2066737c0f51975c,pone-question-d2b8df6c5557ce79,"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix","Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",remember,knowledge,pone.0230442.s001.docx,5,missing_context,train
pone-row-8e48d9456181da80,pone-question-777459686a5409ad,Label the parts of the diagram,Label the parts of the diagram,remember,knowledge,pone.0230442.s001.docx,6,missing_context,train
pone-row-b84e8c6319d8b89d,pone-question-3b5deb475a36f632,"Based on the above dataType class, list all the function members","Based on the above dataType class, list all the function members",remember,knowledge,pone.0230442.s001.docx,7,missing_context,train
pone-row-8bb25fb0eddbe5a2,pone-question-b64286fe19de07f8,Define morphology,Define morphology,remember,knowledge,pone.0230442.s001.docx,8,very_short,train
pone-row-ce0b3373e5241e83,pone-question-19859b442b0e36c8,Define Method in JAVA.,Define Method in JAVA.,remember,knowledge,pone.0230442.s001.docx,9,none,train
pone-row-310b073bddff7adf,pone-question-4289a6781cffef89,Define Inheritance concept,Define Inheritance concept,remember,knowledge,pone.0230442.s001.docx,10,very_short,train
pone-row-059dbbcfe951b48d,pone-question-c2d5bd98333ef11a,List the fractions you know and can show....,List the fractions you know and can show….,remember,knowledge,pone.0230442.s001.docx,13,placeholder,train
pone-row-fee03231a9951fb1,pone-question-fa65e8ca223a6e4c,List the attributes of the following shape.,List the attributes of the following shape.,remember,knowledge,pone.0230442.s001.docx,15,missing_context,train
pone-row-d3ef658b9be47950,pone-question-49706592ff31f601,List two local variables in the main function,List two local variables in the main function,remember,knowledge,pone.0230442.s001.docx,16,none,train
pone-row-a211a719d234da10,pone-question-52433ade63c07ba1,List the data members,List the data members,remember,knowledge,pone.0230442.s001.docx,17,none,train
pone-row-2845a180ced4aa6b,pone-question-e9c3a34ad3604f6e,List important information you can remember from lesson....,List important information you can remember from lesson….,remember,knowledge,pone.0230442.s001.docx,18,placeholder,train
pone-row-3fedadbe0b8112cf,pone-question-312beef1cddc61ff,Make a list of the main events of the story.,Make a list of the main events of the story.,remember,knowledge,pone.0230442.s001.docx,19,missing_context,train
pone-row-4a71fd84e5c716ed,pone-question-5181149ea37ea256,Memorize the multiplication facts,Memorize the multiplication facts,remember,knowledge,pone.0230442.s001.docx,21,none,train
pone-row-cee5a9a1de58fc8e,pone-question-00a5860f76dd873b,Memorize the meaning of ...,Memorize the meaning of … ,remember,knowledge,pone.0230442.s001.docx,22,placeholder,train
pone-row-35e8e0e813b559af,pone-question-2086e35953834dcd,Name five cities in US.,Name five cities in US.,remember,knowledge,pone.0230442.s001.docx,25,none,train
pone-row-e048c62408cd97ce,pone-question-f857b42b30d2594e,Recall the main components of the flowchart,Recall the main components of the flowchart,remember,knowledge,pone.0230442.s001.docx,26,none,train
pone-row-c1a5887b23e08a94,pone-question-7090ddf146361bdf,Recall four facts from the story,Recall four facts from the story,remember,knowledge,pone.0230442.s001.docx,27,missing_context,train
pone-row-d9aaa9cd3e15174b,pone-question-6ba43cb6de80f257,What do you recall ...?,What do you recall ...?,remember,knowledge,pone.0230442.s001.docx,28,placeholder,train
