row_id,question_group_id,question,bloom_level,source_category,source_document,quality_flags
bloom-csv-row-26a196fdc7143188,bloom-csv-question-4afc7700a0d55cf7,Define four types of traceability,remember,BT1,blooms_taxonomy_dataset_v1.csv,none
bloom-csv-row-a3f7248225397b12,bloom-csv-question-f92a3c5bb7d859eb,Identify the correct definition of osmosis,remember,BT1,blooms_taxonomy_dataset_v1.csv,none
bloom-csv-row-b15458ffbd16e0a1,bloom-csv-question-02b6247ad7d0708d,Look at the symbol. What is the symbol's purpose on a map?,remember,BT1,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-e9a209ff6ce55bf2,bloom-csv-question-b0b3af1bc8198e59,Determine the author's point of view,understand,BT2,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-41d35ee352a77c69,bloom-csv-question-6a9b4b67e1b9ce0e,Demonstrate how your unit's specific student learning outcomes are linked to the mission of UAM.,apply,BT3,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-84c0e394d8359422,bloom-csv-question-5701433d56a8488c,"If notes are available on the professor's website, how should those notes be used?",apply,BT3,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-eadf27c87be88168,bloom-csv-question-cad2295579e22cc4,sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,apply,BT3,blooms_taxonomy_dataset_v1.csv,encoding_normalized|missing_context
bloom-csv-row-ea2e659e9b677658,bloom-csv-question-5506244ed8f94556,Determine if a character's actions were heroic,evaluate,BT5,blooms_taxonomy_dataset_v1.csv,encoding_normalized|whitespace_normalized
bloom-csv-row-f4f380310920a926,bloom-csv-question-22affd1d333c4103,udge aesthetic qualities and relationship to future values.,evaluate,BT5,blooms_taxonomy_dataset_v1.csv,none
bloom-csv-row-6124df234aeeabe4,bloom-csv-question-5dde3b569638ab9f,What does ICT stands for,remember,BT1,blooms_taxonomy_dataset_v1.csv,possible_language_error
bloom-csv-row-1e2e64744cc2cb1e,bloom-csv-question-ba2c1bd1efeac8d9,Summarize Jem's beliefs about Boo Radley,understand,BT2,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-b67e70d4588095d0,bloom-csv-question-d3589087a851f77c,Use Gauss' Law to find the electric field between the plates when the charge on them is Q,apply,BT3,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-ef741c0ff6fde65d,bloom-csv-question-c7b595785524dffe,"How do we construct agents that can deliver. ""good"" assistance",apply,BT3,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-c8ed5c94f9c6dc77,bloom-csv-question-5749bf8a55d960d0,"Inspect the pattern of GPS positions relative to the ""known"" published value",analyze,BT4,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-5fee222213bd6448,bloom-csv-question-52080884414adf1e,Why don't you devise your own way to deal with . . .?,create,BT6,blooms_taxonomy_dataset_v1.csv,encoding_normalized
bloom-csv-row-57e20db50517c0e4,bloom-csv-question-7ae2562930cb6634,Can you tell me about the stages of grief according to Elisabeth Kübler-Ross?,remember,BT1,blooms_taxonomy_dataset_v1.csv,none
bloom-csv-row-1adaff4c018b147e,bloom-csv-question-57e9c546fad1915d,An infinitely long plane uniform plate is bounded by two parallel edges in the y direction and an end at right angles to them.,analyze,BT4,blooms_taxonomy_dataset_v1.csv,none
