row_id,question_group_id,question,bloom_level,source_category,source_document,quality_flags
bloom-csv-row-ed61967fec1a97c7,bloom-csv-question-1af68e33d7d4c87e,About what proportion of the population of the US is living on farms?,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-d4379aa970f78feb,bloom-csv-question-fc4db31f6df23035,Correctly label the brain lobes indicated on the diagram below,remember,BT1,blooms_taxonomy_dataset_v1.csv,missing_context|overlap_with_pone
bloom-csv-row-8eafe5bd815e1c22,bloom-csv-question-f22683ff04b4569d,Define compound interest.,remember,BT1,blooms_taxonomy_dataset_v1.csv,very_short|overlap_with_pone
bloom-csv-row-26a196fdc7143188,bloom-csv-question-4afc7700a0d55cf7,Define four types of traceability,remember,BT1,blooms_taxonomy_dataset_v1.csv,none
bloom-csv-row-00188b9ae3fe4f34,bloom-csv-question-55b44728bfd2185d,Define mercantilism.,remember,BT1,blooms_taxonomy_dataset_v1.csv,very_short|overlap_with_pone
bloom-csv-row-2c834eeb8af58ff7,bloom-csv-question-54f00b5caad00318,"Define stream bank, floodplain and substrate.",remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-7e10d773c5330424,bloom-csv-question-40b59fae66c01c50,Define the meaning of the Olympic Motto.,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-72384cb5efd18d7e,bloom-csv-question-0c157b5479c7bb91,Draw and label a diagram of a typical stream.,remember,BT1,blooms_taxonomy_dataset_v1.csv,missing_context|overlap_with_pone
bloom-csv-row-cf3c246084244a19,bloom-csv-question-e809c4d933ba7fbb,Draw the basic outline of a page of notes using the Cornell Method?,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-0b84da0481e5670a,bloom-csv-question-692c687902abbb63,Draw the block diagram of the central processing unit,remember,BT1,blooms_taxonomy_dataset_v1.csv,whitespace_normalized|missing_context|overlap_with_pone
bloom-csv-row-c71461aee557f764,bloom-csv-question-fa4449263bb29bb9,Draw the flow chart of the PNK system,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-06f2a9d96776e817,bloom-csv-question-b0e68e1726b8174e,How many instructions in the instruction set of RISC computer?,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-5f7cfd13726761ca,bloom-csv-question-eb21985ad1a11f1c,How many kilometers from your home to the university,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-aa4547879d6e0d42,bloom-csv-question-48f11223d39cfd7e,How many loop statement available in c++?,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-49bbe4f7f3576ea5,bloom-csv-question-a6ace64df4dc180a,How many states are there in USA,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-68d9932974f9f5a7,bloom-csv-question-95439005d3fd2ab5,How many years does this animal live?,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-14e9c4a77b96fcf4,bloom-csv-question-6fe3a9b17f22f077,How much data can be stored in the cach memory,remember,BT1,blooms_taxonomy_dataset_v1.csv,possible_language_error|overlap_with_pone
bloom-csv-row-38226e76ff180cd3,bloom-csv-question-f45409545e573524,How much did he pay for his car,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-2b5918c404a873ce,bloom-csv-question-f389ea1074f7728e,How much is your weight,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-d6e8a52a4fc8e1a3,bloom-csv-question-014769c72e1d3c32,How much time did he took to build a house,remember,BT1,blooms_taxonomy_dataset_v1.csv,possible_language_error|overlap_with_pone
bloom-csv-row-df7343f47e6450da,bloom-csv-question-4b1e010fa4d6a492,How much water does an elephant drink,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-2bef667e5c7be91e,bloom-csv-question-92cc7e7f69aa79fc,Identify a phrase as a simile,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-ded6ecbe64530aa7,bloom-csv-question-1c8b1e386f20ec6f,"Identify a property (commutative, additive, etc(",remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-2fb94c123b5fdf89,bloom-csv-question-be6456b7e43f31b7,Identify fractions from a pictorial representation,remember,BT1,blooms_taxonomy_dataset_v1.csv,overlap_with_pone
bloom-csv-row-938ecc2fc746b445,bloom-csv-question-a95a80b505f4c22f,Identify ordinal positions,remember,BT1,blooms_taxonomy_dataset_v1.csv,very_short|overlap_with_pone
bloom-csv-row-a3f7248225397b12,bloom-csv-question-f92a3c5bb7d859eb,Identify the correct definition of osmosis,remember,BT1,blooms_taxonomy_dataset_v1.csv,none
